 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 9;🎥 Before I Wake;🎥 Sully;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 16;🎥 Blair Witch;🎥 Bridget Jones's Baby;🎥 Snowden;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 23;🎥 Queen of Katwe;🎥 Storks;🎥 The Magnificent Seven;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, September 30;🎥 Deepwater Horizon;🎥 Miss Peregrine's Home for Peculiars;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 7;🎥 The Birth of a Nation;🎥 The Girl on the Train;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 14;🎥 The Accountant;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 21;🎥 Jack Reacher: Never Go Back;🎥 Keeping Up with the Joneses;🎥 Ouija: Origin of Evil;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, October 28;🎥 Inferno;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, November 4;🎥 Doctor Strange;🎥 Hacksaw Ridge;🎥 Trolls;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, November 11;🎥 Arrival;🎥 Billy Lynn's Long Halftime Walk;🎥 Shut In;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, November 18;🎥 Bleed for This;🎥 Fantastic Beasts and Where to Find Them;🎥 The Edge of Seventeen;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Wednesday, November 23;🎥 Allied;🎥 Bad Santa 2;🎥 Moana;🎥 Rules Don't Apply;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, November 25;🎥 Miss Sloane;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, December 2;🎥 Incarnate;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, December 9;🎥 Office Christmas Party;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Friday, December 16;🎥 Collateral Beauty;🎥 La La Land;🎥 Rogue One: A Star Wars Story;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
 ;;;;;;
;;;;;;
;;;;;;
Wednesday, December 21;🎥 Assassin's Creed;🎥 Passengers;🎥 Patriots Day;🎥 Sing;;
 ;;;;;;
;;;;;;
;;;;;;
